race_id,office,state,district,holder_party,holder_uncertain,open_seat,total,last_7d,dem_party_ie,dem_party_coord,dem_outside,dem_super_pac,dem_total,dem_last_7d,dem_first_party_dollar,dem_side,dem_nominee_candidate_id,dem_nominee_name,dem_nominee_basis,dem_nominee_receipts,dem_nominee_coh,dem_nominee_late_48h,dem_nominee_from_party,dem_nominee_through,rep_party_ie,rep_party_coord,rep_outside,rep_super_pac,rep_total,rep_last_7d,rep_first_party_dollar,rep_side,rep_nominee_candidate_id,rep_nominee_name,rep_nominee_basis,rep_nominee_receipts,rep_nominee_coh,rep_nominee_late_48h,rep_nominee_from_party,rep_nominee_through,split_signal,note
S-WY,S,WY,,REP,False,False,33467.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,offense,S6WY00217,"BYRD, JAMES WILLARD MR.",receipts,22558.71,356.16,0,0.0,2026-07-29,0.0,0.0,33467.26,33467.26,33467.26,0.0,,defense,S6WY00209,"HAGEMAN, HARRIET",ie,2435022.54,915369.0,0,62000.0,2026-07-29,False,
H-NY-08,H,NY,08,DEM,False,False,32100.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,defense,H2NY10092,"JEFFRIES, HAKEEM",ie,14899980.61,5000459.66,0,0.0,2026-06-30,0.0,0.0,32100.9,0.0,32100.9,0.0,,offense,,,,,,,,,False,
H-FL-21,H,FL,21,REP,False,False,27000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,offense,H6FL21034,"TAYLOR, BERNARD",receipts,993379.66,151968.48,0,0.0,2026-07-29,0.0,0.0,27000.0,27000.0,27000.0,0.0,,defense,H6FL18097,"MAST, BRIAN",ie,4308890.46,2928458.15,0,0.0,2026-07-29,False,
H-WV-01,H,WV,01,REP,False,False,25515.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,offense,H6WV01160,"GEORGE, VINCENT RAYMOND MR.",receipts,258330.0,258330.0,0,0.0,2026-06-30,0.0,0.0,25515.0,25515.0,25515.0,0.0,,defense,H8WV03097,"MILLER, CAROL DEVINE",ie,1746897.71,604378.98,0,0.0,2026-06-30,False,
H-CA-14,H,CA,14,DEM,False,False,24954.05,0.0,0.0,0.0,24954.05,24954.05,24954.05,0.0,,defense,H6CA14163,"HERNANDEZ, MELISSA",ie,1990728.52,80575.88,0,0.0,2026-09-07,0.0,0.0,0.0,0.0,0.0,0.0,,offense,H6CA14148,"HUANG, WENDY FIONA MS.",receipts,41023.0,6284.38,0,0.0,2026-06-30,False,
S-TN,S,TN,,REP,False,False,21884.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,offense,S6TN00380,"BREWER, MARIA A",receipts,9068.72,5333.75,0,0.0,2026-07-17,0.0,0.0,21884.84,21884.84,21884.84,0.0,,defense,S0TN00169,"HAGERTY, BILL",ie,7162897.1,5234429.36,0,62000.0,2026-07-17,False,
H-LA-04,H,LA,04,REP,False,False,18933.5,0.0,0.0,0.0,18933.5,18933.5,18933.5,0.0,,offense,H6LA04195,"GROMLICH, MATTHEW",receipts,268771.67,10175.48,0,0.0,2026-07-18,0.0,0.0,0.0,0.0,0.0,0.0,,defense,H6LA04138,"JOHNSON, JAMES MICHAEL",ie,20976864.33,9613157.46,0,0.0,2026-07-18,False,
H-WA-05,H,WA,05,REP,False,False,18406.14,0.0,0.0,0.0,18406.14,18406.14,18406.14,0.0,,offense,H4WA05168,"CONROY, CARMELA",receipts,396216.76,74462.79,0,0.0,2026-07-15,0.0,0.0,0.0,0.0,0.0,0.0,,defense,H4WA05234,"BAUMGARTNER, MICHAEL JAMES",ie,1738226.34,953783.6,0,0.0,2026-07-15,False,
H-NC-08,H,NC,08,REP,False,False,13362.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,offense,H6NC08194,"OPPENHEIM, JESSE",receipts,314099.2,49312.62,0,6000.0,2026-06-30,0.0,0.0,13362.19,13362.19,13362.19,0.0,,defense,H4NC08066,"HARRIS, MARK E",ie,1019134.43,517852.73,0,750.0,2026-06-30,False,
H-TN-09,H,TN,09,DEM,False,False,13000.0,0.0,0.0,0.0,13000.0,13000.0,13000.0,0.0,,defense,H6TN09449,"PEARSON, JUSTIN J.",ie,2344946.62,844732.89,0,0.0,2026-07-17,0.0,0.0,0.0,0.0,0.0,0.0,,offense,H6TN09464,"TAYLOR, BRENT",receipts,1549481.59,417377.22,0,0.0,2026-07-17,False,
H-LA-06,H,LA,06,DEM,False,False,12746.01,0.0,0.0,0.0,12746.01,12746.01,12746.01,0.0,,defense,H4LA06211,"FIELDS, CLEO",receipts,833358.49,436429.12,0,0.0,2026-07-18,0.0,0.0,0.0,0.0,0.0,0.0,,offense,H6LA05234,"MIGUEZ, BLAKE",ie,6612410.45,2032592.21,0,0.0,2026-07-18,False,
H-FL-07,H,FL,07,REP,False,False,12734.0,10834.0,0.0,0.0,1900.0,1900.0,1900.0,0.0,,offense,H6FL07215,"DALTON, BALE",receipts,1378109.29,475857.84,0,0.0,2026-07-29,0.0,0.0,10834.0,10834.0,10834.0,10834.0,,defense,H6FL07231,"ELIJAH, RYAN",ie,355955.46,186154.68,0,0.0,2026-07-29,False,
H-TX-25,H,TX,25,REP,False,False,12469.22,12469.22,0.0,0.0,12469.22,12469.22,12469.22,12469.22,,offense,H6TX25237,"SIMS, DIONE MICHELLE MRS",ie,0.0,0.0,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,defense,H2TX33040,"WILLIAMS, ROGER",receipts,1424050.12,1076189.08,0,0.0,2026-06-30,False,
H-NY-13,H,NY,13,DEM,False,False,12160.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,defense,H6NY13279,"AVILA CHEVALIER, DARIALIZA",ie,1354601.68,222087.41,0,0.0,2026-06-30,0.0,0.0,12160.98,0.0,12160.98,0.0,,offense,,,,,,,,,False,
H-OH-05,H,OH,05,REP,False,False,11479.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,offense,H6OH05154,"SHAVER, BRIAN ALAN MR.",receipts,11664.17,8741.9,0,2275.0,2026-06-30,0.0,0.0,11479.32,11479.32,11479.32,0.0,,defense,H8OH05036,"LATTA, ROBERT EDWARD",ie,1461647.52,1019992.61,0,0.0,2026-06-30,False,
H-NC-10,H,NC,10,REP,False,False,11322.49,0.0,0.0,0.0,11080.0,11080.0,11080.0,0.0,,offense,H6NC10174,"BELL, ASHLEY",ie,84024.21,26173.92,0,2000.0,2026-06-30,0.0,0.0,242.49,0.0,242.49,0.0,,defense,H2NC13243,"HARRIGAN, PAT",receipts,1081820.85,451274.87,0,0.0,2026-06-30,False,
H-OH-13,H,OH,13,DEM,False,False,10920.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,defense,H2OH13264,"SYKES, EMILIA",receipts,3137439.96,1897462.29,0,5863.81,2026-06-30,0.0,0.0,10920.97,10920.97,10920.97,0.0,,offense,H6OH13307,"COLEMAN, CAREY",ie,127109.29,77727.37,0,0.0,2026-06-30,False,
H-FL-08,H,FL,08,REP,False,False,10846.5,10834.0,0.0,0.0,12.5,0.0,12.5,0.0,,offense,H6FL06399,"JENKINS, JENNIFER",receipts,725730.74,108111.28,0,0.0,2026-07-29,0.0,0.0,10834.0,10834.0,10834.0,10834.0,,defense,H4FL08168,"HARIDOPOLOS, MIKE",ie,1824837.67,1197776.93,0,0.0,2026-07-29,False,
H-FL-16,H,FL,16,REP,False,False,10833.0,10833.0,0.0,0.0,0.0,0.0,0.0,0.0,,offense,H6FL16158,"KIRSCHNER, KELLY",receipts,296506.91,80737.72,0,0.0,2026-07-29,0.0,0.0,10833.0,10833.0,10833.0,10833.0,,defense,H6FL16141,"GRUTERS, SYDNEY",ie,1087682.55,622381.17,0,0.0,2026-07-29,False,
H-FL-11,H,FL,11,REP,False,False,10833.0,10833.0,0.0,0.0,0.0,0.0,0.0,0.0,,offense,H6FL11357,"PERICOLA, JAMES",receipts,119754.0,32231.07,0,0.0,2026-07-29,0.0,0.0,10833.0,10833.0,10833.0,10833.0,,defense,H6FL11332,"STRADA, JOE",ie,5248640.0,2248903.39,0,0.0,2026-07-29,False,
H-PA-12,H,PA,12,DEM,False,False,10269.92,0.0,0.0,0.0,10269.92,10269.92,10269.92,0.0,,defense,H2PA18200,"LEE, SUMMER",ie,1466287.27,1649287.99,0,0.0,2026-06-30,0.0,0.0,0.0,0.0,0.0,0.0,,offense,H4PA12068,"HAYES, JAMES DR.",receipts,40138.76,9521.39,0,250.0,2026-06-30,False,
H-GA-10,H,GA,10,REP,False,False,9063.63,0.0,0.0,0.0,9063.63,0.0,9063.63,0.0,,offense,H4GA10113,"DOHERTY, ALEXANDRA",receipts,220390.5,22956.16,0,0.0,2026-06-30,0.0,0.0,0.0,0.0,0.0,0.0,,defense,H4GA10071,"COLLINS, MICHAEL A JR",receipts,6511959.52,2038360.07,0,0.0,2026-06-30,False,
H-NH-02,H,NH,02,DEM,False,False,8016.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,defense,H4NH02399,"GOODLANDER, MAGGIE",receipts,4155360.22,2701064.53,0,52.77,2026-08-19,0.0,0.0,8016.23,8016.23,8016.23,0.0,,offense,H2NH02260,"WILLIAMS, LILY TANG",receipts,1199750.37,627779.2,0,0.0,2026-08-19,False,
H-NY-15,H,NY,15,DEM,False,False,5000.0,0.0,0.0,0.0,5000.0,5000.0,5000.0,0.0,,defense,H0NY15160,"TORRES, RITCHIE JOHN",receipts,6908654.83,13986720.96,0,0.0,2026-06-30,0.0,0.0,0.0,0.0,0.0,0.0,,offense,,,,,,,,,False,
H-IL-15,H,IL,15,REP,False,False,1770.74,0.0,0.0,0.0,1770.74,1770.74,1770.74,0.0,,offense,H6IL15092,"TODD, JENNIFER ANN",receipts,122995.58,34289.55,0,0.0,2026-06-30,0.0,0.0,0.0,0.0,0.0,0.0,,defense,H0IL15129,"MILLER, MARY",receipts,1331399.27,810426.73,0,0.0,2026-06-30,False,
H-FL-23,H,FL,23,DEM,True,False,12.5,0.0,0.0,0.0,12.5,0.0,12.5,0.0,,,H2FL14053,"FRANKEL, LOIS J.",receipts,2276253.73,1212162.38,0,0.0,2026-07-29,0.0,0.0,0.0,0.0,0.0,0.0,,,H2FL21132,"ADEIMY, DEBORAH",receipts,162514.88,33690.7,0,0.0,2026-07-29,False,
H-FL-10,H,FL,10,DEM,False,False,12.5,0.0,0.0,0.0,12.5,0.0,12.5,0.0,,defense,H2FL10259,"FROST, MAXWELL ALEJANDRO",receipts,3474867.07,1283055.9,0,0.0,2026-07-29,0.0,0.0,0.0,0.0,0.0,0.0,,offense,H0FL10113,"MONTAGUE, WILLIE",receipts,108.9,87.9,0,0.0,2026-07-29,False,
H-FL-05,H,FL,05,REP,False,False,12.5,0.0,0.0,0.0,12.5,0.0,12.5,0.0,,offense,H6FL05250,"GRAGE, RACHEL",receipts,272423.46,90533.36,0,0.0,2026-07-29,0.0,0.0,0.0,0.0,0.0,0.0,,defense,H6FL04105,"RUTHERFORD, JOHN",receipts,726726.61,268730.24,0,0.0,2026-07-29,False,
H-FL-12,H,FL,12,REP,False,False,12.5,0.0,0.0,0.0,12.5,0.0,12.5,0.0,,offense,H6FL15192,"MCAULEY, DARREN",receipts,728863.42,112331.9,0,0.0,2026-07-29,0.0,0.0,0.0,0.0,0.0,0.0,,defense,H6FL09070,"BILIRAKIS, GUS M",receipts,1588537.71,554070.01,0,0.0,2026-07-29,False,
H-FL-20,H,FL,20,DEM,True,False,12.5,0.0,0.0,0.0,12.5,0.0,12.5,0.0,,,H4FL20023,"WASSERMAN SCHULTZ, DEBBIE",receipts,3300107.37,1861373.49,0,0.0,2026-07-29,0.0,0.0,0.0,0.0,0.0,0.0,,,H6FL20069,"JOSEPH, RODENAY MR.",receipts,98824.74,16182.39,0,0.0,2026-07-29,False,
H-IL-09,H,IL,09,DEM,False,False,5.8,0.0,0.0,0.0,5.8,0.0,5.8,0.0,,defense,H6IL09178,"ABUGHAZALEH, KATHERINE M.",receipts,4073733.32,17465.09,0,0.0,2026-06-30,0.0,0.0,0.0,0.0,0.0,0.0,,offense,H6IL09210,"SU, DONGBO",receipts,24114.64,0.0,0,0.0,2026-06-30,False,
